Author Name,Author Affiliation,Country,Article No.,h-index,Title,Year,Author Number,Key Words,Citation,Source,Abstract,Type
Nicholas Slamon,Nemours/Alfred I. duPont Hospital for Children,USA,61,,Effect of Collaboration Mode and Position Arrangement on Immersive Analytics Tasks in Virtual Reality: A Pilot Study,2021,6.0,collaborative exploration; immersive analytics; group learning; virtual reality; 3D mathematics; 3D user interfaces,6.0,APPLIED SCIENCES-BASEL,"[Background] Virtual reality (VR) technology can provide unique immersive experiences for group users, and especially for analytics tasks with visual information in learning. Providing a shared control/view may improve the task performance and enhance the user experience during VR collaboration.[Objectives] Therefore, this research explores the effect of collaborative modes and user position arrangements on task performance, user engagement, and collaboration behaviors and patterns in a VR learning environment that supports immersive collaborative tasks.[Method] The study involved two collaborative modes (shared and non-shared view and control) and three position arrangements (side-by-side, corner-to-corner, and back-to-back). A user study was conducted with 30 participants divided into three groups (Single, Shared, and Non-Shared) using a VR application that allowed users to explore the structural and transformational properties of 3D geometric shapes.[Results] The results showed that the shared mode would lead to higher task performance than single users for learning analytics tasks in VR. Besides, the side-by-side position got a higher score and more favor for enhancing the collaborative experience.[Conclusion] The shared view would be more suitable for improving task performance in collaborative VR. In addition, the side-by-side position may provide a higher user experience when collaborating in learning VR. From these results, a set of guidelines for the design of collaborative visualizations for VR environments are distilled and presented at the end of the paper. All in all, although our experiment is based on a colocated setting with two users, the results are applicable to both colocated and distributed collaborative scenarios with two or more users.",Journal
Min Zhang,Beihua University ,China,62,,Virtual Reality Simulation for Pediatric Airway Intubation Readiness Education,2020,3.0,"virtual reality, simulation, pediatric, airway intubation, medical education",6.0,CUREUS,"BackgroundThe objective of this study was to provide education to inexperienced trainees regarding preparation for airway intubation using virtual reality (VR) tutorial and comparison of performance with that of experienced trainees without VR training. We hypothesized that after the VR tutorial, junior fellows and residents will have comparable recall of the proper steps as experienced trainees.MethodsThis project was initiated in the pediatric intensive care unit from July 1, 2019, to July 30, 2019. Volunteer residents and pediatric critical care medicine fellows participated. The VR group completed a 19-minute immersive tutorial and then demonstrated learned skills with a traditional manikin. Non-VR group fellows listed steps to prepare for airway intubation from memory with scoring on a 24-point timed checklist.ResultsSeventeen subjects participated; two residents were excluded. The VR group had seven trainees (47%) and scored similarly to the other group based on checklist items (50.5% vs 50.8%, P=1).ConclusionVR technologies can be used for education in preparation for pediatric airway intubation. There was no difference in the performance accuracy between the two groups. Larger studies are essential to study benefits of VR in preparation and performance of airway intubation.",Journal
Yu Xie,Jiangnan University,China,63,,Virtual Situated Learning of Spoken English Based on Computer Simulation Technology,2020,1.0,"Spoken English, computer simulation, 3D virtual environment, situated learning",14.0,INTERNATIONAL JOURNAL OF EMERGING TECHNOLOGIES IN LEARNING,"This paper aims to effectively improve the learning effect of spoken English, which is difficult to learn or practice. For this purpose, the 3D space was constructed by computer simulation and virtual reality (VR) technology. Then, the author designed a computer simulation software to create a 3D virtual learning environment, which is almost indistinguishable from the real world, for immersive learning of spoken English. A total of 100 students were selected to learn spoken English for 12 weeks in the virtual environment. The learning outcomes were collected and analysed by statistical and induction methods. The analysis results show that the virtual environment greatly stimulated the students' enthusiasm for spoken English learning, and improved the learning effect by 26 similar to 32%; the delay of the proposed software falls in the allowable range, but needs to be further improved. The research findings shed new light on the methods and theories of virtual situated learning of spoken English.",Journal
Yang Liu,University College London,United Kingdom,63,,Virtual Situated Learning of Spoken English Based on Computer Simulation Technology,2020,1.0,"Spoken English, computer simulation, 3D virtual environment, situated learning",14.0,INTERNATIONAL JOURNAL OF EMERGING TECHNOLOGIES IN LEARNING,"This paper aims to effectively improve the learning effect of spoken English, which is difficult to learn or practice. For this purpose, the 3D space was constructed by computer simulation and virtual reality (VR) technology. Then, the author designed a computer simulation software to create a 3D virtual learning environment, which is almost indistinguishable from the real world, for immersive learning of spoken English. A total of 100 students were selected to learn spoken English for 12 weeks in the virtual environment. The learning outcomes were collected and analysed by statistical and induction methods. The analysis results show that the virtual environment greatly stimulated the students' enthusiasm for spoken English learning, and improved the learning effect by 26 similar to 32%; the delay of the proposed software falls in the allowable range, but needs to be further improved. The research findings shed new light on the methods and theories of virtual situated learning of spoken English.",Journal
Fengrui Zhang,University of Cambridge,United Kingdom,63,,Virtual Situated Learning of Spoken English Based on Computer Simulation Technology,2020,1.0,"Spoken English, computer simulation, 3D virtual environment, situated learning",14.0,INTERNATIONAL JOURNAL OF EMERGING TECHNOLOGIES IN LEARNING,"This paper aims to effectively improve the learning effect of spoken English, which is difficult to learn or practice. For this purpose, the 3D space was constructed by computer simulation and virtual reality (VR) technology. Then, the author designed a computer simulation software to create a 3D virtual learning environment, which is almost indistinguishable from the real world, for immersive learning of spoken English. A total of 100 students were selected to learn spoken English for 12 weeks in the virtual environment. The learning outcomes were collected and analysed by statistical and induction methods. The analysis results show that the virtual environment greatly stimulated the students' enthusiasm for spoken English learning, and improved the learning effect by 26 similar to 32%; the delay of the proposed software falls in the allowable range, but needs to be further improved. The research findings shed new light on the methods and theories of virtual situated learning of spoken English.",Journal
Ping Zhou,Hunan University of Humanities,China,63,,Virtual Situated Learning of Spoken English Based on Computer Simulation Technology,2020,1.0,"Spoken English, computer simulation, 3D virtual environment, situated learning",14.0,INTERNATIONAL JOURNAL OF EMERGING TECHNOLOGIES IN LEARNING,"This paper aims to effectively improve the learning effect of spoken English, which is difficult to learn or practice. For this purpose, the 3D space was constructed by computer simulation and virtual reality (VR) technology. Then, the author designed a computer simulation software to create a 3D virtual learning environment, which is almost indistinguishable from the real world, for immersive learning of spoken English. A total of 100 students were selected to learn spoken English for 12 weeks in the virtual environment. The learning outcomes were collected and analysed by statistical and induction methods. The analysis results show that the virtual environment greatly stimulated the students' enthusiasm for spoken English learning, and improved the learning effect by 26 similar to 32%; the delay of the proposed software falls in the allowable range, but needs to be further improved. The research findings shed new light on the methods and theories of virtual situated learning of spoken English.",Journal
Mian Usman Sattar,Beaconhouse National University,Pakistan,64,6.0,Virtual Reality-Integrated Immersion-Based Teaching to English Language Learning Outcome,2022,4.0,"Psychology, virtual reality, immersive language teaching, English language, learning outcome, language ability",2.0,FRONTIERS IN PSYCHOLOGY,"Globalization and informatization are reshaping human life and social behaviors. The purpose is to explore the worldwide strategies to cultivate international talents with a global vision. As a global language with the largest population, English, and especially its learning effect, have always been the major concerns of scholars and educators. This work innovatively studies the combination of immersion-based English teaching with virtual reality (VR) technology. Then, based on the experimental design mode, 106 students from a Chinese school were selected for a quasi-experimental study for 16 weeks (3 h a week, and 48 h in total). The collected data were analyzed by computer statistical software, and hypotheses are verified. The results showed that there is a significantly positive correlation between VR and immersion-based language teaching (0.851, p < 0.01). There is a significantly positive correlation between immersion-based language teaching and academic achievement (0.824, p < 0.01), and VR is positively correlated with learning outcome (LO) (0.836, p < 0.01). Compared with other state-of-art research methods, this work modifies the students' oral test through the analysis and comparison with the system database, and the students' learning effect is greatly improved. Finally, some suggestions are put forward according to the research results to provide an experimental reference for English teachers and future linguistics teaching.",Journal
Sellappan Palaniappan,Malaysia University of Science and Technology,Malaysia,64,24.0,Virtual Reality-Integrated Immersion-Based Teaching to English Language Learning Outcome,2022,4.0,"Psychology, virtual reality, immersive language teaching, English language, learning outcome, language ability",2.0,FRONTIERS IN PSYCHOLOGY,"Globalization and informatization are reshaping human life and social behaviors. The purpose is to explore the worldwide strategies to cultivate international talents with a global vision. As a global language with the largest population, English, and especially its learning effect, have always been the major concerns of scholars and educators. This work innovatively studies the combination of immersion-based English teaching with virtual reality (VR) technology. Then, based on the experimental design mode, 106 students from a Chinese school were selected for a quasi-experimental study for 16 weeks (3 h a week, and 48 h in total). The collected data were analyzed by computer statistical software, and hypotheses are verified. The results showed that there is a significantly positive correlation between VR and immersion-based language teaching (0.851, p < 0.01). There is a significantly positive correlation between immersion-based language teaching and academic achievement (0.824, p < 0.01), and VR is positively correlated with learning outcome (LO) (0.836, p < 0.01). Compared with other state-of-art research methods, this work modifies the students' oral test through the analysis and comparison with the system database, and the students' learning effect is greatly improved. Finally, some suggestions are put forward according to the research results to provide an experimental reference for English teachers and future linguistics teaching.",Journal
Asiah Lokman,Malaysia University of Science and Technology,Malaysia,64,,Virtual Reality-Integrated Immersion-Based Teaching to English Language Learning Outcome,2022,4.0,"Psychology, virtual reality, immersive language teaching, English language, learning outcome, language ability",2.0,FRONTIERS IN PSYCHOLOGY,"Globalization and informatization are reshaping human life and social behaviors. The purpose is to explore the worldwide strategies to cultivate international talents with a global vision. As a global language with the largest population, English, and especially its learning effect, have always been the major concerns of scholars and educators. This work innovatively studies the combination of immersion-based English teaching with virtual reality (VR) technology. Then, based on the experimental design mode, 106 students from a Chinese school were selected for a quasi-experimental study for 16 weeks (3 h a week, and 48 h in total). The collected data were analyzed by computer statistical software, and hypotheses are verified. The results showed that there is a significantly positive correlation between VR and immersion-based language teaching (0.851, p < 0.01). There is a significantly positive correlation between immersion-based language teaching and academic achievement (0.824, p < 0.01), and VR is positively correlated with learning outcome (LO) (0.836, p < 0.01). Compared with other state-of-art research methods, this work modifies the students' oral test through the analysis and comparison with the system database, and the students' learning effect is greatly improved. Finally, some suggestions are put forward according to the research results to provide an experimental reference for English teachers and future linguistics teaching.",Journal
Nauman Shah,University of Management and Technology,Pakistan,64,,Virtual Reality-Integrated Immersion-Based Teaching to English Language Learning Outcome,2022,4.0,"Psychology, virtual reality, immersive language teaching, English language, learning outcome, language ability",2.0,FRONTIERS IN PSYCHOLOGY,"Globalization and informatization are reshaping human life and social behaviors. The purpose is to explore the worldwide strategies to cultivate international talents with a global vision. As a global language with the largest population, English, and especially its learning effect, have always been the major concerns of scholars and educators. This work innovatively studies the combination of immersion-based English teaching with virtual reality (VR) technology. Then, based on the experimental design mode, 106 students from a Chinese school were selected for a quasi-experimental study for 16 weeks (3 h a week, and 48 h in total). The collected data were analyzed by computer statistical software, and hypotheses are verified. The results showed that there is a significantly positive correlation between VR and immersion-based language teaching (0.851, p < 0.01). There is a significantly positive correlation between immersion-based language teaching and academic achievement (0.824, p < 0.01), and VR is positively correlated with learning outcome (LO) (0.836, p < 0.01). Compared with other state-of-art research methods, this work modifies the students' oral test through the analysis and comparison with the system database, and the students' learning effect is greatly improved. Finally, some suggestions are put forward according to the research results to provide an experimental reference for English teachers and future linguistics teaching.",Journal
Usman Khalid,University of Management and Technology,Pakistan,64,,Virtual Reality-Integrated Immersion-Based Teaching to English Language Learning Outcome,2022,4.0,"Psychology, virtual reality, immersive language teaching, English language, learning outcome, language ability",2.0,FRONTIERS IN PSYCHOLOGY,"Globalization and informatization are reshaping human life and social behaviors. The purpose is to explore the worldwide strategies to cultivate international talents with a global vision. As a global language with the largest population, English, and especially its learning effect, have always been the major concerns of scholars and educators. This work innovatively studies the combination of immersion-based English teaching with virtual reality (VR) technology. Then, based on the experimental design mode, 106 students from a Chinese school were selected for a quasi-experimental study for 16 weeks (3 h a week, and 48 h in total). The collected data were analyzed by computer statistical software, and hypotheses are verified. The results showed that there is a significantly positive correlation between VR and immersion-based language teaching (0.851, p < 0.01). There is a significantly positive correlation between immersion-based language teaching and academic achievement (0.824, p < 0.01), and VR is positively correlated with learning outcome (LO) (0.836, p < 0.01). Compared with other state-of-art research methods, this work modifies the students' oral test through the analysis and comparison with the system database, and the students' learning effect is greatly improved. Finally, some suggestions are put forward according to the research results to provide an experimental reference for English teachers and future linguistics teaching.",Journal
Raza Hasan,Malaysia University of Science and Technology,Malaysia,64,,Virtual Reality-Integrated Immersion-Based Teaching to English Language Learning Outcome,2022,4.0,"Psychology, virtual reality, immersive language teaching, English language, learning outcome, language ability",2.0,FRONTIERS IN PSYCHOLOGY,"Globalization and informatization are reshaping human life and social behaviors. The purpose is to explore the worldwide strategies to cultivate international talents with a global vision. As a global language with the largest population, English, and especially its learning effect, have always been the major concerns of scholars and educators. This work innovatively studies the combination of immersion-based English teaching with virtual reality (VR) technology. Then, based on the experimental design mode, 106 students from a Chinese school were selected for a quasi-experimental study for 16 weeks (3 h a week, and 48 h in total). The collected data were analyzed by computer statistical software, and hypotheses are verified. The results showed that there is a significantly positive correlation between VR and immersion-based language teaching (0.851, p < 0.01). There is a significantly positive correlation between immersion-based language teaching and academic achievement (0.824, p < 0.01), and VR is positively correlated with learning outcome (LO) (0.836, p < 0.01). Compared with other state-of-art research methods, this work modifies the students' oral test through the analysis and comparison with the system database, and the students' learning effect is greatly improved. Finally, some suggestions are put forward according to the research results to provide an experimental reference for English teachers and future linguistics teaching.",Journal
Chen-Wei Chang,Fudan University ,China,65,7.0,Motivating Medical Students Using Virtual Reality Based Education,2020,4.0,"Virtual Reality (VR), Learning Motivation, Medical Simulations,
Intrinsic Motivation Inventory (IMI)",56.0,INTERNATIONAL JOURNAL OF EMERGING TECHNOLOGIES IN LEARNING,"An exploratory study to compare the effects of immersive virtual reality based training on the learning motivation of final year medical students as compared to video and text-based learning. Different modes of delivery of a training simulation of laparoscopy operation were presented to students and learning motivation corresponding to which were evaluated using the Intrinsic Motivation Inventory. Undergraduate medical students from 8 medical colleges and universities across Pakistan participated in this study. A total of 87 students with a mean age of 22.5 +/- 4 years were recruited for the study. Of these, 57.4% (n = 50) were males and 42.6% (n = 37) were females. Paired sampled t-test was chosen for the statistical investigation for the study. The tests were conducted by comparing means of text, video, and virtual reality learning methodologies in medical students. All applied statistical models have significance value p = 0.00 indicating a significant difference. Medical student motivation was observed to be the greatest in Virtual Reality settings as compared to video-based and text-based learning settings. Both theoretical and practical studies have importance in medical studies, whereas practical hand-on-practice can enhance medical students' professional proficiency. Virtual reality was at the top in User experience, perceived competence, usefulness, and motivation for final year medical students. It can play a signficant role in contemporary teaching and learning methodology with medical educationist and students can get benefit from this technology.",Journal
Shih-Ching Yeh,Fudan University ,China,65,27.0,Motivating Medical Students Using Virtual Reality Based Education,2020,4.0,"Virtual Reality (VR), Learning Motivation, Medical Simulations,
Intrinsic Motivation Inventory (IMI)",56.0,INTERNATIONAL JOURNAL OF EMERGING TECHNOLOGIES IN LEARNING,"An exploratory study to compare the effects of immersive virtual reality based training on the learning motivation of final year medical students as compared to video and text-based learning. Different modes of delivery of a training simulation of laparoscopy operation were presented to students and learning motivation corresponding to which were evaluated using the Intrinsic Motivation Inventory. Undergraduate medical students from 8 medical colleges and universities across Pakistan participated in this study. A total of 87 students with a mean age of 22.5 +/- 4 years were recruited for the study. Of these, 57.4% (n = 50) were males and 42.6% (n = 37) were females. Paired sampled t-test was chosen for the statistical investigation for the study. The tests were conducted by comparing means of text, video, and virtual reality learning methodologies in medical students. All applied statistical models have significance value p = 0.00 indicating a significant difference. Medical student motivation was observed to be the greatest in Virtual Reality settings as compared to video-based and text-based learning settings. Both theoretical and practical studies have importance in medical studies, whereas practical hand-on-practice can enhance medical students' professional proficiency. Virtual reality was at the top in User experience, perceived competence, usefulness, and motivation for final year medical students. It can play a signficant role in contemporary teaching and learning methodology with medical educationist and students can get benefit from this technology.",Journal
Mengtong Li,Fudan University ,China,65,4.0,Motivating Medical Students Using Virtual Reality Based Education,2020,4.0,"Virtual Reality (VR), Learning Motivation, Medical Simulations,
Intrinsic Motivation Inventory (IMI)",56.0,INTERNATIONAL JOURNAL OF EMERGING TECHNOLOGIES IN LEARNING,"An exploratory study to compare the effects of immersive virtual reality based training on the learning motivation of final year medical students as compared to video and text-based learning. Different modes of delivery of a training simulation of laparoscopy operation were presented to students and learning motivation corresponding to which were evaluated using the Intrinsic Motivation Inventory. Undergraduate medical students from 8 medical colleges and universities across Pakistan participated in this study. A total of 87 students with a mean age of 22.5 +/- 4 years were recruited for the study. Of these, 57.4% (n = 50) were males and 42.6% (n = 37) were females. Paired sampled t-test was chosen for the statistical investigation for the study. The tests were conducted by comparing means of text, video, and virtual reality learning methodologies in medical students. All applied statistical models have significance value p = 0.00 indicating a significant difference. Medical student motivation was observed to be the greatest in Virtual Reality settings as compared to video-based and text-based learning settings. Both theoretical and practical studies have importance in medical studies, whereas practical hand-on-practice can enhance medical students' professional proficiency. Virtual reality was at the top in User experience, perceived competence, usefulness, and motivation for final year medical students. It can play a signficant role in contemporary teaching and learning methodology with medical educationist and students can get benefit from this technology.",Journal
Eason Yao,Iforeal Intelligent Technology,China,65,,Motivating Medical Students Using Virtual Reality Based Education,2020,4.0,"Virtual Reality (VR), Learning Motivation, Medical Simulations,
Intrinsic Motivation Inventory (IMI)",56.0,INTERNATIONAL JOURNAL OF EMERGING TECHNOLOGIES IN LEARNING,"An exploratory study to compare the effects of immersive virtual reality based training on the learning motivation of final year medical students as compared to video and text-based learning. Different modes of delivery of a training simulation of laparoscopy operation were presented to students and learning motivation corresponding to which were evaluated using the Intrinsic Motivation Inventory. Undergraduate medical students from 8 medical colleges and universities across Pakistan participated in this study. A total of 87 students with a mean age of 22.5 +/- 4 years were recruited for the study. Of these, 57.4% (n = 50) were males and 42.6% (n = 37) were females. Paired sampled t-test was chosen for the statistical investigation for the study. The tests were conducted by comparing means of text, video, and virtual reality learning methodologies in medical students. All applied statistical models have significance value p = 0.00 indicating a significant difference. Medical student motivation was observed to be the greatest in Virtual Reality settings as compared to video-based and text-based learning settings. Both theoretical and practical studies have importance in medical studies, whereas practical hand-on-practice can enhance medical students' professional proficiency. Virtual reality was at the top in User experience, perceived competence, usefulness, and motivation for final year medical students. It can play a signficant role in contemporary teaching and learning methodology with medical educationist and students can get benefit from this technology.",Journal
Inmaculada Remolar,Universitat Jaume I,Spain,66,11.0,The Introduction of a Novel Virtual Reality Training System for Gynecology Learning and Its User Experience Research,2019,4.0,"Virtual reality
,
training/learning system
,
immersive and interactive design
,
user experience
,
acceptance and adoption of systems",35.0,IEEE ACCESS,"The researchers of this study designed a new virtual reality (VR)-assisted training system, IFOREAL, for gynecology students at their university and introduced it to potential trainees. Two versions of IFOREAL, each employing different devices, were developed. The consumer version uses a traditional LCD display and computer mouse, whereas the professional version utilizes a head-mounted display (HMD) and joystick controller for the virtual learning. Trainees watched simulated videos and interacted with the system to accomplish tasks. IFOREAL consists of several major learning modules of gynecology. This study used the normal spontaneous delivery module to research user experience and perceptions of the IFOREAL VR training system. The results suggested that most of the trainee's user experiences and perceptions of IFOREAL, using both the types of VR-assisted technology, were positively reported. Trainees who used the consumer version of IFOREAL perceived a stronger internal control, whereas trainees using the professional version perceived a better sense of virtual presence. Overall, trainees perceived the usefulness of the IFOREAL system which predicted their future intention to use the system and other similar VR-assisted training systems for learning. Furthermore, whether the virtual content of IFOREAL grabbed the trainees' attention predicted their future intenon to use professional devices of HMD/joysck for learning other subjects. The gender difference was also explored in the study. Generally speaking, female trainees gave better evaluations of IFOREAL compared to their male counterparts. They perceived a better internal control while using the consumer version than the professional version. Male trainees believed that the gadgets used in the professional version provided a better virtual presence and met their expectation of a virtual experience better. This study suggested that different versions of IFOREAL could serve trainees' different needs. Technology developers and trainers should tailor the application of different VR devices to assist with the training/learning in accordance with different conditions/trainees.",Journal
Cristina Rebollo,Universitat Jaume I,Spain,66,,The Introduction of a Novel Virtual Reality Training System for Gynecology Learning and Its User Experience Research,2019,4.0,"Virtual reality
,
training/learning system
,
immersive and interactive design
,
user experience
,
acceptance and adoption of systems",35.0,IEEE ACCESS,"The researchers of this study designed a new virtual reality (VR)-assisted training system, IFOREAL, for gynecology students at their university and introduced it to potential trainees. Two versions of IFOREAL, each employing different devices, were developed. The consumer version uses a traditional LCD display and computer mouse, whereas the professional version utilizes a head-mounted display (HMD) and joystick controller for the virtual learning. Trainees watched simulated videos and interacted with the system to accomplish tasks. IFOREAL consists of several major learning modules of gynecology. This study used the normal spontaneous delivery module to research user experience and perceptions of the IFOREAL VR training system. The results suggested that most of the trainee's user experiences and perceptions of IFOREAL, using both the types of VR-assisted technology, were positively reported. Trainees who used the consumer version of IFOREAL perceived a stronger internal control, whereas trainees using the professional version perceived a better sense of virtual presence. Overall, trainees perceived the usefulness of the IFOREAL system which predicted their future intention to use the system and other similar VR-assisted training systems for learning. Furthermore, whether the virtual content of IFOREAL grabbed the trainees' attention predicted their future intenon to use professional devices of HMD/joysck for learning other subjects. The gender difference was also explored in the study. Generally speaking, female trainees gave better evaluations of IFOREAL compared to their male counterparts. They perceived a better internal control while using the consumer version than the professional version. Male trainees believed that the gadgets used in the professional version provided a better virtual presence and met their expectation of a virtual experience better. This study suggested that different versions of IFOREAL could serve trainees' different needs. Technology developers and trainers should tailor the application of different VR devices to assist with the training/learning in accordance with different conditions/trainees.",Journal
Jon A. Fernández-Moyano,Universitat Jaume I,Spain,66,,The Introduction of a Novel Virtual Reality Training System for Gynecology Learning and Its User Experience Research,2019,4.0,"Virtual reality
,
training/learning system
,
immersive and interactive design
,
user experience
,
acceptance and adoption of systems",35.0,IEEE ACCESS,"The researchers of this study designed a new virtual reality (VR)-assisted training system, IFOREAL, for gynecology students at their university and introduced it to potential trainees. Two versions of IFOREAL, each employing different devices, were developed. The consumer version uses a traditional LCD display and computer mouse, whereas the professional version utilizes a head-mounted display (HMD) and joystick controller for the virtual learning. Trainees watched simulated videos and interacted with the system to accomplish tasks. IFOREAL consists of several major learning modules of gynecology. This study used the normal spontaneous delivery module to research user experience and perceptions of the IFOREAL VR training system. The results suggested that most of the trainee's user experiences and perceptions of IFOREAL, using both the types of VR-assisted technology, were positively reported. Trainees who used the consumer version of IFOREAL perceived a stronger internal control, whereas trainees using the professional version perceived a better sense of virtual presence. Overall, trainees perceived the usefulness of the IFOREAL system which predicted their future intention to use the system and other similar VR-assisted training systems for learning. Furthermore, whether the virtual content of IFOREAL grabbed the trainees' attention predicted their future intenon to use professional devices of HMD/joysck for learning other subjects. The gender difference was also explored in the study. Generally speaking, female trainees gave better evaluations of IFOREAL compared to their male counterparts. They perceived a better internal control while using the consumer version than the professional version. Male trainees believed that the gadgets used in the professional version provided a better virtual presence and met their expectation of a virtual experience better. This study suggested that different versions of IFOREAL could serve trainees' different needs. Technology developers and trainers should tailor the application of different VR devices to assist with the training/learning in accordance with different conditions/trainees.",Journal
Maÿlis Merveilleux Du Vignaux ,HEC Montréal,Canada,67,,Learning History Using Virtual and Augmented Reality,2021,3.0,virtual reality; augmented reality; playful experience; education; history,3.0,COMPUTERS,"Master lectures of history are usually quite boring for the students, and to keep their attention requires a great effort from teachers. Virtual and Augmented Reality have a clear potential in education and can solve this problem. Serious games that use immersive technologies allow students to visit and interact with environments dated in different ages. Taking this in mind, this article presents a playful virtual reality experience set in Ancient Rome that allows the user to learn concepts from that age. The virtual experience reproduces as accurately as possible the different buildings and civil constructions of the time, making it possible for the player to create Roman cities in a simple way. Once built, the user can visit them, accessing the buildings and being able to interact with the objects and characters that appear. Moreover, in order to learn more information about every building, users can visualize them using Augmented Reality using marker-based techniques. Different information has been included related to every building, such as their main uses, characteristics, or even some images that represent them. In order to evaluate the effectiveness of the developed experience, several experiments have been carried out, taking as sample Secondary School students. Initially, the game's quality and playability has been evaluated and, subsequently, the motivation of the virtual learning experience in history. The results obtained support on the one hand its gameplay and attractiveness, and on the other, the student's increased interest in studying history, as well as the greater fixation of different concepts treated in a playful experience.",Journal
Pierre-Majorique Léger ,HEC Montréal,Canada,67,32.0,Learning History Using Virtual and Augmented Reality,2021,3.0,virtual reality; augmented reality; playful experience; education; history,3.0,COMPUTERS,"Master lectures of history are usually quite boring for the students, and to keep their attention requires a great effort from teachers. Virtual and Augmented Reality have a clear potential in education and can solve this problem. Serious games that use immersive technologies allow students to visit and interact with environments dated in different ages. Taking this in mind, this article presents a playful virtual reality experience set in Ancient Rome that allows the user to learn concepts from that age. The virtual experience reproduces as accurately as possible the different buildings and civil constructions of the time, making it possible for the player to create Roman cities in a simple way. Once built, the user can visit them, accessing the buildings and being able to interact with the objects and characters that appear. Moreover, in order to learn more information about every building, users can visualize them using Augmented Reality using marker-based techniques. Different information has been included related to every building, such as their main uses, characteristics, or even some images that represent them. In order to evaluate the effectiveness of the developed experience, several experiments have been carried out, taking as sample Secondary School students. Initially, the game's quality and playability has been evaluated and, subsequently, the motivation of the virtual learning experience in history. The results obtained support on the one hand its gameplay and attractiveness, and on the other, the student's increased interest in studying history, as well as the greater fixation of different concepts treated in a playful experience.",Journal
Youness Salame,HEC Montréal,Canada,67,,Learning History Using Virtual and Augmented Reality,2021,3.0,virtual reality; augmented reality; playful experience; education; history,3.0,COMPUTERS,"Master lectures of history are usually quite boring for the students, and to keep their attention requires a great effort from teachers. Virtual and Augmented Reality have a clear potential in education and can solve this problem. Serious games that use immersive technologies allow students to visit and interact with environments dated in different ages. Taking this in mind, this article presents a playful virtual reality experience set in Ancient Rome that allows the user to learn concepts from that age. The virtual experience reproduces as accurately as possible the different buildings and civil constructions of the time, making it possible for the player to create Roman cities in a simple way. Once built, the user can visit them, accessing the buildings and being able to interact with the objects and characters that appear. Moreover, in order to learn more information about every building, users can visualize them using Augmented Reality using marker-based techniques. Different information has been included related to every building, such as their main uses, characteristics, or even some images that represent them. In order to evaluate the effectiveness of the developed experience, several experiments have been carried out, taking as sample Secondary School students. Initially, the game's quality and playability has been evaluated and, subsequently, the motivation of the virtual learning experience in history. The results obtained support on the one hand its gameplay and attractiveness, and on the other, the student's increased interest in studying history, as well as the greater fixation of different concepts treated in a playful experience.",Journal
Sylvain Sénécal ,HEC Montréal,Canada,67,,Learning History Using Virtual and Augmented Reality,2021,3.0,virtual reality; augmented reality; playful experience; education; history,3.0,COMPUTERS,"Master lectures of history are usually quite boring for the students, and to keep their attention requires a great effort from teachers. Virtual and Augmented Reality have a clear potential in education and can solve this problem. Serious games that use immersive technologies allow students to visit and interact with environments dated in different ages. Taking this in mind, this article presents a playful virtual reality experience set in Ancient Rome that allows the user to learn concepts from that age. The virtual experience reproduces as accurately as possible the different buildings and civil constructions of the time, making it possible for the player to create Roman cities in a simple way. Once built, the user can visit them, accessing the buildings and being able to interact with the objects and characters that appear. Moreover, in order to learn more information about every building, users can visualize them using Augmented Reality using marker-based techniques. Different information has been included related to every building, such as their main uses, characteristics, or even some images that represent them. In order to evaluate the effectiveness of the developed experience, several experiments have been carried out, taking as sample Secondary School students. Initially, the game's quality and playability has been evaluated and, subsequently, the motivation of the virtual learning experience in history. The results obtained support on the one hand its gameplay and attractiveness, and on the other, the student's increased interest in studying history, as well as the greater fixation of different concepts treated in a playful experience.",Journal
Patrick Charland ,Université du Québec,Canada,67,14.0,Learning History Using Virtual and Augmented Reality,2021,3.0,virtual reality; augmented reality; playful experience; education; history,3.0,COMPUTERS,"Master lectures of history are usually quite boring for the students, and to keep their attention requires a great effort from teachers. Virtual and Augmented Reality have a clear potential in education and can solve this problem. Serious games that use immersive technologies allow students to visit and interact with environments dated in different ages. Taking this in mind, this article presents a playful virtual reality experience set in Ancient Rome that allows the user to learn concepts from that age. The virtual experience reproduces as accurately as possible the different buildings and civil constructions of the time, making it possible for the player to create Roman cities in a simple way. Once built, the user can visit them, accessing the buildings and being able to interact with the objects and characters that appear. Moreover, in order to learn more information about every building, users can visualize them using Augmented Reality using marker-based techniques. Different information has been included related to every building, such as their main uses, characteristics, or even some images that represent them. In order to evaluate the effectiveness of the developed experience, several experiments have been carried out, taking as sample Secondary School students. Initially, the game's quality and playability has been evaluated and, subsequently, the motivation of the virtual learning experience in history. The results obtained support on the one hand its gameplay and attractiveness, and on the other, the student's increased interest in studying history, as well as the greater fixation of different concepts treated in a playful experience.",Journal
